Марка;Цена в $;Цена в ГРН;Город
Volkswagen Touareg 2021;73 350 $;2 051 445 грн;Полтава 
Volkswagen Touareg 2021;61 306 $;1 714 600 грн;Івано-Франківськ 
Volkswagen Touareg 2020;61 213 $;1 712 000 грн;Житомир 
Volkswagen Touareg 2020;69 365 $;1 940 000 грн;Житомир 
Volkswagen Touareg 2021;73 700 $;2 061 234 грн;Хмельницький 
Volkswagen Golf 2020;22 552 $;640 000 грн;Вінниця 
Volkswagen Touareg 2020;63 466 $;1 775 000 грн;Житомир 
Volkswagen T-Roc 2020;27 598 $;771 858 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;42 785 $;1 196 607 грн;Київ 
Volkswagen Tiguan 2021;41 677 $;1 165 618 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;45 399 $;1 269 715 грн;Хмельницький 
Volkswagen Tiguan 2021;43 900 $;1 227 791 грн;Полтава 
Volkswagen Tiguan 2021;45 840 $;1 282 049 грн;Хмельницький 
Volkswagen Tiguan 2021;41 677 $;1 182 793 грн;Вінниця 
Volkswagen T-Roc 2020;27 132 $;770 000 грн;Вінниця 
Volkswagen Multivan 2020;76 990 $;2 153 249 грн;Київ 
Volkswagen Touareg 2021;63 000 $;1 761 978 грн;Чернівці 
Volkswagen Touareg 2020;61 980 $;1 733 450 грн;Київ 
Volkswagen Touareg 2021;62 110 $;1 737 086 грн;Полтава 
Volkswagen Touareg 2021;73 683 $;2 060 759 грн;Чернівці 
Volkswagen Touareg 2021;62 110 $;1 737 086 грн;Полтава 
Volkswagen Touareg 2020;69 999 $;1 957 725 грн;Хмельницький 
Volkswagen Touareg 2021;77 340 $;2 163 037 грн;Миколаїв 
Volkswagen Tiguan 2021;41 300 $;1 155 074 грн;Чернівці 
Volkswagen Touareg 2021;62 000 $;1 734 010 грн;Житомир 
Volkswagen T-Roc 2020;27 200 $;760 727 грн;Житомир 
Volkswagen Touareg 2021;75 685 $;2 147 940 грн;Вінниця 
Volkswagen Touareg 2020;72 444 $;2 026 106 грн;Дніпро (Дніпропетровськ) 
Volkswagen Multivan 2020;62 990 $;1 761 698 грн;Київ 
Volkswagen T-Cross 2021;23 500 $;657 246 грн;Хмельницький 
Volkswagen Touareg 2021;81 545 $;2 280 642 грн;Чернівці 
Volkswagen Touareg 2021;75 990 $;2 125 281 грн;Миколаїв 
Volkswagen Touareg 2021;74 750 $;2 090 600 грн;Чернівці 
